Identifier,Cost,Type,Color,Number of Flowers per Package,Stem Length,Shipping Time (Hours)
ALSTRO ASSORTED 10 ST SC,81.822222222222,Daily Deals,Unknown,14,10,20.99137901138889
Alstro Fall Pack Fancy,85.333333333333,Daily Deals,Unknown,12,0,140.9913790002778
Aster Tara-Solidago Yellow,86.666666666667,Daily Deals,['Yellow'],12,0,116.99137899388889
Delphinium G 90 Sea Waltz,242.66666666667,Daily Deals,Unknown,14,90,188.99137898833334
"Leatherleaf Extra large ""Adair""",43.733333333333,Daily Deals,Unknown,10,0,20.99137898361111
Lily Assorted 3/5 OR,145.33333333333,Daily Deals,Unknown,60,3,452.9913789788889
POMPON DAISY ASSORTED 70CM,83.488888888889,Daily Deals,Unknown,13,70,140.9913789747222
POMPON DAISY FALL 70CM,83.488888888889,Daily Deals,Unknown,13,70,140.99137897083332
RED ROSE RED RED ROSE 50CM RED FREEDOM 25 ST(STEMS) 50,66.666666666667,Daily Deals,"['RED', 'RED', 'RED', 'RED']",100,50,20.99137896611111
ROS ORG Orange Crush 50,247.22222222222,Daily Deals,['Orange'],125,50,164.99137896194443
Rose Assorted G 50,131.11111111111,Daily Deals,Unknown,100,50,284.9913789580555
Roses Assorted Colors Assorted Colors 50 Cm,147.22222222222,Daily Deals,Unknown,125,50,20.99137895416667
ALSTRO ASSORTED 10 ST SC,81.822222222222,Daily Deals,Unknown,14,10,20.991378949999998
Alstro Fall Pack Fancy,85.333333333333,Daily Deals,Unknown,12,0,140.9913789463889
Aster Tara-Solidago Yellow,86.666666666667,Daily Deals,['Yellow'],12,0,116.99137894277777
Delphinium G 90 Sea Waltz,242.66666666667,Daily Deals,Unknown,14,90,188.9913789372222
"Leatherleaf Extra large ""Adair""",43.733333333333,Daily Deals,Unknown,10,0,20.991378933333333
Lily Assorted 3/5 OR,145.33333333333,Daily Deals,Unknown,60,3,452.99137892972226
POMPON DAISY ASSORTED 70CM,83.488888888889,Daily Deals,Unknown,13,70,140.99137892583335
POMPON DAISY FALL 70CM,83.488888888889,Daily Deals,Unknown,13,70,140.99137892222222
RED ROSE RED RED ROSE 50CM RED FREEDOM 25 ST(STEMS) 50,66.666666666667,Daily Deals,"['RED', 'RED', 'RED', 'RED']",100,50,20.9913789175
ROS ORG Orange Crush 50,247.22222222222,Daily Deals,['Orange'],125,50,164.99137891361113
Rose Assorted G 50,131.11111111111,Daily Deals,Unknown,100,50,284.99137891000004
Roses Assorted Colors Assorted Colors 50 Cm,147.22222222222,Daily Deals,Unknown,125,50,20.991378906111112
Salal Tips,54.666666666667,Daily Deals,Unknown,10,0,20.991378902777775
Spray Rose Assorted 40 cm,122.22222222222,Daily Deals,Unknown,100,40,20.99137889888889
SPRAY ROSE ASSORTED 40CM,137.77777777778,Daily Deals,Unknown,100,40,140.9913788936111
Sunflower Yellow Vincent Choice Petite,131.11111111111,Daily Deals,['Yellow'],100,0,284.9913788891667
Sunflower Yellow Vincent Choice Select,109.33333333333,Daily Deals,['Yellow'],60,0,284.9913788852778
