Category,Product Name,Vendor,Per Box Price,Quantity per Box,Delivery Date,Stems Available
Roses,BQT Roses Elegance Red 12 stems QB x6  bunches,VistaFlor,$136.8,6,04-Nov-2025,48
Roses,COLOR ROSES ASSORTED ASSORTED 40 40,VistaFlor,$300,300,28-Oct-2025,600
Roses,COLOR ROSES ASSORTED ASSORTED 50 50,VistaFlor,$320,300,28-Oct-2025,3900
Roses,COLOR ROSES ASSORTED ASSORTED 60 60,VistaFlor,$353.33333333333,300,28-Oct-2025,7800
Roses,COLOR ROSES ASSORTED ASSORTED 80,VistaFlor,$383.33333333333,250,28-Oct-2025,2000
Roses,COLOR ROSES CREAM QUICK SAND 60 60,VistaFlor,$251.11111111111,100,28-Oct-2025,200
Roses,COLOR ROSES DARK PINK GOTCHA 50 50,VistaFlor,$133.33333333333,100,28-Oct-2025,400
Roses,COLOR ROSES LIGHT PINK BE SWEET LIGTH PINK 50,VistaFlor,$122.22222222222,100,28-Oct-2025,400
Roses,COLOR ROSES LIGHT PINK PINK MONDIAL 60 60,VistaFlor,$137.77777777778,100,28-Oct-2025,200
Roses,COLOR ROSES ORANGE CAYENNE 50 50,VistaFlor,$173.33333333333,100,28-Oct-2025,400
Roses,COLOR ROSES ORANGE HIGH ORANGE 50 50,VistaFlor,$164.44444444444,100,28-Oct-2025,300
Roses,COLOR ROSES TINTED PAINTED CAPUCCINO 50,VistaFlor,$326.66666666667,100,28-Oct-2025,300
Roses,COLOR ROSES TINTED PAINTED CAPUCCINO 60,VistaFlor,$337.77777777778,100,28-Oct-2025,300
Roses,COLOR ROSES TINTED TOFFE BROWN PAINTED 60,VistaFlor,$422.22222222222,100,28-Oct-2025,200
Roses,COLOR ROSES WHITE PLAYA BLANCA 60 60,VistaFlor,$235.55555555556,100,28-Oct-2025,200
Roses,COLOR ROSES WHITE PLAYA BLANCA 70 70,VistaFlor,$248.88888888889,100,28-Oct-2025,300
Roses,COLOR ROSES WHITE TIBET 50 50,VistaFlor,$137.77777777778,100,28-Oct-2025,200
Roses,COLOR ROSES WHITE VENDELA 40 40,VistaFlor,$340,300,28-Oct-2025,900
Roses,COLOR ROSES YELLOW LIGHTHOUSE 50 50,VistaFlor,$133.33333333333,100,28-Oct-2025,300
Roses,COLOR ROSES YELLOW TARA 50 50,VistaFlor,$133.33333333333,100,28-Oct-2025,600
Roses,Cremon Terracota Rosetta ECU 70cm,Jet Fresh,$170,10,28-Oct-2025,70
Roses,Delph Lavender Blush Rose ECU 70cm 10 ST,Jet Fresh,$253.93333333333,13,28-Oct-2025,26
Roses,Delph Lavender Blush Rose ECU 80cm 10 ST,Jet Fresh,$262.66666666667,12,28-Oct-2025,24
Roses,DRIED/PRES ASSORTED ROSE BACK TO BASICS-MOST WANTED 5-5.9CM,SunBurst Farms,$272.53333333333,42,28-Oct-2025,294
Roses,DZ Rose BQT Asst 70%Col30%Red 50cm W/Gyp/Green/FabWrap,Jet Fresh,$307.6,18,28-Oct-2025,684
Roses,DZ Rose BQT Red Freedom 50cm W/Gyp/Green/FabWrap,Jet Fresh,$307.6,18,28-Oct-2025,90
Roses,Garden Rose Bi - Color Orange Free Spirit  40 Cm,EQR,$230.55555555556,125,28-Oct-2025,625
Roses,Garden Rose Bi - Color Orange Free Spirit 50 Cm,EQR,$291.66666666667,125,04-Nov-2025,625
Roses,Garden Rose Bi Peach/ L Pink Shakespeare ECU ECO ARRIVE ALIVE 60cm,Jet Fresh,$244.8,72,28-Oct-2025,288
Roses,Garden Rose Bi Peach/Yellow Antonia Gardens ECU 40cm,Jet Fresh,$241.66666666667,125,28-Oct-2025,250
Roses,Garden Rose Bi Pink/Cream Houdini Summerhouse ECU 40cm,Jet Fresh,$147.22222222222,125,28-Oct-2025,250
Roses,Garden Rose Blush Peach Darlington USA EUFLORIA 60/70cm WETTERisBETTER,Jet Fresh,$329.6,48,28-Oct-2025,96
Roses,Garden Rose Blush Princess Maya ARRIVE ALIVE 40cm,Jet Fresh,$245.33333333333,48,28-Oct-2025,96
